case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Criminal,2021,Karnataka,Supreme,34,302,0.61,55.4
Criminal,2020,Delhi,High,29,729,0.69,42.72
Family,2021,Tamil Nadu,High,31,281,0.82,33.0
Commercial,2012,Maharashtra,High,9,601,0.38,31.58
Property,2011,Maharashtra,District,11,693,0.37,24.05
Civil,2015,Maharashtra,District,16,357,0.84,29.73
Property,2011,Tamil Nadu,Supreme,22,608,0.83,37.77
Property,2010,Delhi,District,33,478,0.37,28.53
Civil,2019,Tamil Nadu,District,6,662,0.53,20.24
Family,2012,Karnataka,District,14,332,0.73,11.78
Family,2010,Maharashtra,District,14,649,0.57,20.66
Family,2022,Maharashtra,District,6,526,0.71,13.3
Civil,2015,Delhi,District,33,451,0.53,34.96
Commercial,2012,Delhi,Supreme,36,755,0.71,53.44
Civil,2014,Tamil Nadu,High,8,556,0.58,28.43
Civil,2016,Tamil Nadu,District,12,762,0.34,29.2
Commercial,2016,Uttar Pradesh,District,14,292,0.51,24.26
Criminal,2016,Delhi,Supreme,6,337,0.47,48.23
Commercial,2021,Uttar Pradesh,District,19,251,0.43,29.66
Property,2018,Tamil Nadu,High,29,476,0.53,29.8
Commercial,2018,Karnataka,District,6,351,0.87,12.92
Commercial,2019,Uttar Pradesh,District,37,678,0.46,39.88
Commercial,2014,Maharashtra,High,27,495,0.35,34.67
Property,2014,Maharashtra,Supreme,37,788,0.55,52.37
Commercial,2012,Tamil Nadu,High,30,370,0.82,30.21
Family,2016,Karnataka,District,5,426,0.79,10.35
Commercial,2018,Karnataka,High,14,780,0.72,33.85
Property,2018,Karnataka,District,12,552,0.54,22.93
Commercial,2020,Uttar Pradesh,District,18,372,0.3,27.11
Family,2019,Maharashtra,Supreme,9,316,0.64,26.13
Family,2017,Uttar Pradesh,District,36,778,0.33,34.34
Criminal,2019,Uttar Pradesh,District,4,269,0.41,17.84
Family,2016,Delhi,High,34,731,0.49,36.66
Civil,2019,Uttar Pradesh,High,9,750,0.86,24.38
Criminal,2023,Maharashtra,District,13,525,0.72,27.23
Commercial,2017,Uttar Pradesh,Supreme,4,413,0.68,33.36
Civil,2011,Karnataka,District,17,568,0.8,31.76
Property,2012,Uttar Pradesh,High,24,438,0.45,32.83
Family,2017,Delhi,District,20,365,0.35,22.14
Civil,2018,Karnataka,High,12,790,0.38,39.45
Property,2018,Tamil Nadu,High,20,286,0.4,27.1
Criminal,2014,Tamil Nadu,High,18,574,0.56,40.3
Criminal,2010,Uttar Pradesh,Supreme,22,388,0.35,49.56
Criminal,2015,Uttar Pradesh,High,7,670,0.79,29.09
Property,2021,Uttar Pradesh,District,17,423,0.73,18.4
Family,2010,Karnataka,High,31,381,0.68,28.91
Family,2017,Delhi,District,6,202,0.77,14.29
Property,2019,Karnataka,High,13,610,0.43,29.62
Civil,2022,Delhi,District,33,301,0.89,34.6
Criminal,2022,Maharashtra,High,37,490,0.69,48.46
Commercial,2022,Uttar Pradesh,Supreme,3,480,0.75,29.71
Family,2023,Delhi,District,4,409,0.34,15.95
Family,2021,Karnataka,High,12,780,0.81,28.14
Criminal,2012,Uttar Pradesh,District,33,209,0.47,35.32
Family,2011,Uttar Pradesh,District,38,701,0.86,31.33
Property,2021,Delhi,High,5,588,0.51,20.53
Commercial,2019,Karnataka,High,23,545,0.73,29.95
Criminal,2013,Tamil Nadu,District,17,322,0.36,26.72
Commercial,2019,Karnataka,District,18,620,0.38,28.39
Family,2016,Uttar Pradesh,High,4,637,0.74,20.08
Civil,2011,Uttar Pradesh,High,28,557,0.8,36.55
Family,2017,Uttar Pradesh,High,9,685,0.36,27.25
Property,2012,Tamil Nadu,Supreme,23,647,0.73,48.06
Family,2014,Karnataka,District,31,470,0.71,26.08
Criminal,2023,Maharashtra,District,12,701,0.41,29.43
Commercial,2023,Tamil Nadu,Supreme,24,606,0.54,46.2
Criminal,2010,Maharashtra,District,31,611,0.37,34.57
Civil,2022,Delhi,District,29,415,0.88,30.87
Property,2016,Delhi,District,31,419,0.73,26.41
Family,2020,Karnataka,Supreme,38,482,0.72,47.58
Property,2018,Tamil Nadu,District,4,736,0.76,11.68
Property,2018,Uttar Pradesh,High,27,324,0.79,27.43
Commercial,2010,Uttar Pradesh,Supreme,8,764,0.77,41.48
Commercial,2022,Tamil Nadu,High,14,603,0.81,29.47
Commercial,2021,Maharashtra,District,22,776,0.31,31.23
Property,2015,Karnataka,High,32,304,0.4,32.83
Civil,2016,Karnataka,Supreme,13,415,0.44,46.84
Civil,2012,Uttar Pradesh,Supreme,3,735,0.39,42.91
Family,2010,Tamil Nadu,Supreme,37,735,0.6,46.14
Family,2017,Uttar Pradesh,District,18,470,0.71,20.63
Property,2021,Tamil Nadu,District,13,314,0.85,12.66
Property,2017,Tamil Nadu,High,14,206,0.83,22.52
Property,2013,Delhi,Supreme,35,375,0.69,44.2
Property,2023,Maharashtra,High,38,227,0.61,34.64
Property,2021,Uttar Pradesh,High,37,311,0.79,34.21
Family,2018,Tamil Nadu,High,18,794,0.78,21.62
Civil,2019,Karnataka,High,24,308,0.42,40.92
Property,2020,Karnataka,District,24,265,0.71,15.77
Civil,2022,Delhi,Supreme,31,796,0.56,52.42
Property,2022,Karnataka,District,33,760,0.4,32.2
Civil,2013,Tamil Nadu,High,16,258,0.71,28.07
Civil,2018,Tamil Nadu,District,22,713,0.36,33.48
Criminal,2022,Karnataka,High,21,322,0.85,37.79
Criminal,2016,Uttar Pradesh,High,9,469,0.56,27.49
Commercial,2012,Delhi,District,37,588,0.76,34.18
Criminal,2015,Uttar Pradesh,District,11,632,0.45,28.98
Commercial,2020,Maharashtra,High,38,208,0.46,35.47
Criminal,2019,Karnataka,Supreme,31,534,0.53,52.27
Commercial,2014,Uttar Pradesh,High,20,640,0.36,38.26
Civil,2019,Maharashtra,Supreme,22,769,0.3,54.16
Property,2017,Delhi,Supreme,15,661,0.71,36.38
Property,2016,Delhi,High,36,435,0.68,33.15
Civil,2023,Karnataka,High,7,756,0.88,26.74
Family,2016,Uttar Pradesh,District,32,313,0.46,23.98
Property,2016,Karnataka,Supreme,5,673,0.53,33.17
Property,2012,Uttar Pradesh,High,5,629,0.61,18.7
Civil,2011,Tamil Nadu,High,15,499,0.38,35.9
Commercial,2013,Delhi,Supreme,33,246,0.86,42.62
Family,2010,Karnataka,District,20,780,0.57,27.16
Family,2021,Karnataka,Supreme,27,361,0.68,43.07
Civil,2010,Karnataka,Supreme,9,653,0.65,45.42
Commercial,2016,Maharashtra,High,8,387,0.66,25.36
Family,2013,Karnataka,Supreme,14,683,0.66,33.74
Property,2020,Delhi,Supreme,23,299,0.36,46.38
Family,2022,Tamil Nadu,Supreme,24,690,0.74,41.7
Family,2011,Tamil Nadu,District,11,314,0.81,6.48
Civil,2021,Karnataka,District,27,474,0.54,31.15
Commercial,2012,Uttar Pradesh,District,25,751,0.68,31.46
Criminal,2012,Tamil Nadu,High,29,282,0.61,39.17
Criminal,2014,Delhi,District,35,428,0.74,36.06
Family,2018,Karnataka,High,18,737,0.41,27.87
Civil,2010,Karnataka,District,7,481,0.66,15.77
Property,2014,Delhi,District,17,468,0.32,20.02
Civil,2023,Maharashtra,Supreme,20,316,0.68,44.54
Property,2011,Delhi,High,18,750,0.6,25.31
Family,2012,Karnataka,District,4,568,0.82,10.97
Family,2016,Uttar Pradesh,High,26,624,0.6,30.76
Civil,2022,Uttar Pradesh,High,31,385,0.85,32.73
Criminal,2021,Maharashtra,District,24,445,0.87,36.4
Commercial,2023,Delhi,High,24,762,0.38,40.49
Criminal,2023,Delhi,High,9,303,0.36,29.2
Commercial,2018,Tamil Nadu,High,11,278,0.58,31.8
Civil,2016,Karnataka,High,27,425,0.73,38.13
Civil,2018,Delhi,Supreme,8,631,0.68,33.64
Criminal,2015,Tamil Nadu,District,21,522,0.56,33.52
Criminal,2021,Uttar Pradesh,Supreme,30,774,0.55,57.18
Family,2012,Delhi,Supreme,14,532,0.61,36.01
Family,2023,Delhi,High,26,298,0.62,26.73
Commercial,2011,Maharashtra,Supreme,13,702,0.78,41.91
Criminal,2019,Maharashtra,High,17,550,0.44,40.65
Civil,2021,Uttar Pradesh,District,18,391,0.72,22.53
Family,2010,Karnataka,High,4,365,0.81,12.79
Civil,2010,Karnataka,District,28,740,0.4,38.93
Property,2018,Uttar Pradesh,High,3,636,0.67,22.98
Civil,2013,Delhi,District,28,592,0.67,32.99
Civil,2018,Karnataka,High,38,739,0.84,44.21
Family,2017,Uttar Pradesh,High,5,275,0.79,16.01
Property,2014,Karnataka,Supreme,25,357,0.39,37.73
Civil,2020,Tamil Nadu,District,23,466,0.41,26.13
Civil,2010,Maharashtra,High,33,622,0.69,45.07
Commercial,2013,Maharashtra,District,39,314,0.88,30.95
Civil,2010,Maharashtra,District,37,201,0.7,32.69
Civil,2020,Uttar Pradesh,High,23,257,0.31,30.87
Criminal,2011,Uttar Pradesh,Supreme,22,736,0.6,58.7
Civil,2018,Uttar Pradesh,Supreme,34,225,0.59,52.57
Criminal,2016,Tamil Nadu,High,7,212,0.43,26.43
Family,2014,Tamil Nadu,High,27,570,0.69,31.72
Commercial,2020,Karnataka,Supreme,15,586,0.67,46.06
Commercial,2017,Uttar Pradesh,Supreme,22,614,0.42,49.82
Property,2012,Tamil Nadu,District,26,411,0.63,24.02
Commercial,2013,Delhi,District,14,750,0.88,23.04
Commercial,2014,Karnataka,District,11,697,0.31,26.91
Criminal,2015,Uttar Pradesh,Supreme,15,706,0.84,44.39
Property,2017,Karnataka,Supreme,7,413,0.49,33.59
Criminal,2020,Uttar Pradesh,High,12,479,0.78,27.07
Civil,2010,Uttar Pradesh,District,7,259,0.47,15.9
Family,2014,Uttar Pradesh,Supreme,37,673,0.72,46.82
Family,2016,Uttar Pradesh,District,35,352,0.42,29.62
Commercial,2011,Uttar Pradesh,District,25,256,0.52,28.22
Property,2018,Uttar Pradesh,High,32,558,0.5,28.03
Criminal,2016,Karnataka,Supreme,20,645,0.81,47.33
Family,2021,Karnataka,District,35,216,0.85,26.66
Family,2021,Maharashtra,District,8,745,0.5,17.65
Property,2013,Karnataka,District,23,722,0.48,24.72
Commercial,2021,Uttar Pradesh,District,28,644,0.58,33.1
Criminal,2021,Delhi,District,14,220,0.88,16.55
Criminal,2015,Tamil Nadu,District,38,487,0.45,46.12
Criminal,2021,Karnataka,Supreme,4,636,0.31,44.49
Property,2017,Delhi,District,5,302,0.5,8.35
Family,2020,Maharashtra,Supreme,36,662,0.58,49.72
Civil,2017,Tamil Nadu,District,16,705,0.82,30.81
Civil,2019,Uttar Pradesh,District,26,514,0.84,27.12
Civil,2011,Delhi,Supreme,34,472,0.61,52.22
Criminal,2018,Karnataka,High,26,308,0.65,36.59
Property,2021,Maharashtra,District,29,224,0.49,23.8
Commercial,2022,Tamil Nadu,District,37,519,0.32,40.08
Family,2017,Tamil Nadu,Supreme,24,666,0.42,43.68
Commercial,2012,Delhi,District,13,632,0.77,19.51
Civil,2015,Maharashtra,Supreme,38,798,0.37,66.52
Commercial,2019,Karnataka,High,39,662,0.83,43.58
Property,2021,Karnataka,District,28,563,0.31,27.93
Family,2011,Tamil Nadu,High,25,258,0.78,22.63
Family,2011,Karnataka,High,13,703,0.89,21.0
Property,2022,Tamil Nadu,Supreme,20,638,0.36,43.8
Property,2012,Tamil Nadu,High,16,317,0.54,20.85
Civil,2020,Delhi,District,16,611,0.71,28.55
Criminal,2010,Karnataka,District,27,220,0.75,32.65
Civil,2022,Tamil Nadu,District,34,350,0.52,35.26
Commercial,2023,Tamil Nadu,Supreme,6,720,0.42,46.79
Family,2016,Delhi,High,20,442,0.47,30.3
Property,2010,Karnataka,High,19,754,0.4,31.59
Criminal,2015,Maharashtra,District,4,598,0.66,26.33
Criminal,2014,Tamil Nadu,Supreme,19,679,0.37,54.34
Family,2013,Maharashtra,High,26,461,0.45,32.95
Commercial,2013,Uttar Pradesh,Supreme,26,428,0.36,48.84
Family,2022,Tamil Nadu,District,37,315,0.87,27.86
Commercial,2010,Tamil Nadu,District,30,578,0.5,31.07
Property,2017,Uttar Pradesh,High,10,674,0.86,20.77
Civil,2015,Tamil Nadu,Supreme,35,504,0.46,64.02
Civil,2020,Delhi,Supreme,28,640,0.77,53.18
Criminal,2022,Delhi,High,9,291,0.79,26.03
Criminal,2010,Karnataka,District,6,689,0.77,23.8
Criminal,2021,Karnataka,High,27,206,0.6,37.56
Commercial,2021,Karnataka,Supreme,22,794,0.69,46.51
Property,2010,Uttar Pradesh,Supreme,13,670,0.84,39.79
Family,2014,Karnataka,District,20,240,0.4,21.32
Commercial,2015,Tamil Nadu,High,27,789,0.35,37.02
Civil,2016,Karnataka,Supreme,18,738,0.31,50.85
Property,2023,Delhi,High,6,346,0.67,20.67
Property,2011,Karnataka,Supreme,35,593,0.58,49.04
Property,2011,Uttar Pradesh,Supreme,24,304,0.58,38.08
Criminal,2018,Karnataka,High,31,578,0.51,46.82
Family,2018,Maharashtra,District,11,566,0.34,26.38
Family,2015,Karnataka,High,10,643,0.66,26.43
Criminal,2013,Tamil Nadu,District,8,435,0.62,24.27
Criminal,2013,Karnataka,High,3,434,0.53,32.77
Commercial,2020,Tamil Nadu,Supreme,34,768,0.35,59.37
Civil,2011,Delhi,Supreme,9,662,0.49,41.65
Property,2018,Karnataka,High,22,480,0.48,32.64
Property,2011,Karnataka,District,36,501,0.31,35.0
Civil,2011,Delhi,Supreme,10,434,0.68,41.25
Criminal,2010,Karnataka,Supreme,39,418,0.31,56.96
Family,2014,Tamil Nadu,Supreme,36,278,0.79,44.05
Property,2022,Uttar Pradesh,High,18,208,0.51,17.32
Criminal,2014,Tamil Nadu,District,31,404,0.65,34.38
Criminal,2017,Delhi,Supreme,15,264,0.35,46.85
Civil,2011,Uttar Pradesh,High,10,721,0.7,34.63
Criminal,2016,Tamil Nadu,District,12,376,0.89,19.41
Civil,2018,Tamil Nadu,High,38,750,0.55,51.4
Property,2017,Delhi,District,32,379,0.69,23.46
Family,2020,Uttar Pradesh,Supreme,25,279,0.82,42.14
Criminal,2010,Karnataka,District,31,391,0.3,36.22
Property,2018,Karnataka,High,14,206,0.32,26.22
Criminal,2020,Karnataka,Supreme,28,431,0.87,50.0
Commercial,2016,Karnataka,District,36,532,0.7,33.15
Criminal,2015,Karnataka,High,19,329,0.58,32.78
Civil,2017,Delhi,District,31,483,0.78,32.71
Commercial,2019,Maharashtra,Supreme,35,475,0.85,55.67
Commercial,2018,Delhi,Supreme,39,222,0.86,48.82
Civil,2012,Maharashtra,High,30,498,0.32,45.48
Family,2017,Delhi,High,37,246,0.58,35.91
Civil,2021,Maharashtra,District,39,318,0.64,42.45
Criminal,2010,Delhi,High,10,251,0.75,27.97
Commercial,2013,Delhi,District,10,606,0.85,14.16
Property,2020,Maharashtra,Supreme,31,313,0.82,36.78
Property,2014,Uttar Pradesh,District,31,643,0.81,22.47
Civil,2017,Delhi,District,19,278,0.42,22.37
Criminal,2023,Tamil Nadu,High,27,302,0.76,33.17
Civil,2011,Uttar Pradesh,District,34,717,0.89,33.19
Commercial,2010,Maharashtra,Supreme,7,409,0.53,37.13
Family,2021,Tamil Nadu,Supreme,27,295,0.6,42.17
Civil,2013,Tamil Nadu,Supreme,12,700,0.76,41.07
Civil,2018,Karnataka,High,22,332,0.53,38.11
Property,2023,Delhi,District,10,578,0.69,18.89
Commercial,2022,Delhi,District,16,238,0.39,18.35
Commercial,2023,Uttar Pradesh,Supreme,36,441,0.9,46.74
Civil,2018,Uttar Pradesh,Supreme,25,757,0.66,51.85
Commercial,2014,Delhi,Supreme,22,617,0.89,42.52
Property,2022,Karnataka,High,32,593,0.59,36.4
Criminal,2011,Maharashtra,High,29,642,0.46,45.68
Property,2023,Tamil Nadu,District,38,466,0.69,28.86
Civil,2012,Karnataka,Supreme,14,412,0.74,44.14
Family,2010,Delhi,High,5,793,0.52,24.43
Property,2016,Uttar Pradesh,High,18,399,0.46,26.15
Commercial,2010,Tamil Nadu,District,14,337,0.72,18.41
Family,2011,Karnataka,District,23,492,0.83,15.97
Criminal,2016,Delhi,District,27,433,0.77,31.31
Family,2022,Karnataka,High,14,234,0.78,19.5
Property,2017,Maharashtra,District,38,419,0.85,28.0
Criminal,2021,Karnataka,Supreme,26,279,0.82,50.12
Criminal,2017,Delhi,District,36,654,0.35,44.14
Criminal,2013,Uttar Pradesh,District,33,558,0.89,38.16
Criminal,2012,Maharashtra,High,13,745,0.44,39.45
Civil,2021,Uttar Pradesh,District,18,622,0.34,29.95
Civil,2015,Maharashtra,Supreme,19,604,0.31,49.17
Civil,2021,Uttar Pradesh,District,15,428,0.63,28.65
Civil,2020,Delhi,Supreme,13,772,0.43,45.75
Commercial,2020,Maharashtra,High,4,523,0.41,26.13
Property,2019,Tamil Nadu,Supreme,39,772,0.46,50.01
Criminal,2014,Uttar Pradesh,District,3,729,0.75,23.26
Criminal,2013,Karnataka,Supreme,13,680,0.49,42.77
Criminal,2016,Delhi,High,5,665,0.32,33.5
Commercial,2010,Uttar Pradesh,High,33,674,0.63,40.64
Commercial,2021,Karnataka,High,27,713,0.65,39.99
Property,2020,Uttar Pradesh,Supreme,7,205,0.72,22.17
Commercial,2020,Tamil Nadu,District,27,667,0.57,34.74
Family,2020,Tamil Nadu,Supreme,38,348,0.88,45.68
Criminal,2018,Maharashtra,High,5,672,0.7,29.64
Civil,2017,Karnataka,High,4,278,0.82,13.93
Criminal,2014,Delhi,District,29,340,0.33,36.85
Property,2015,Maharashtra,District,28,788,0.77,20.64
Civil,2020,Uttar Pradesh,District,32,759,0.85,33.8
Civil,2014,Uttar Pradesh,Supreme,14,355,0.76,40.59
Family,2011,Karnataka,District,23,256,0.87,20.08
Criminal,2010,Maharashtra,District,13,401,0.46,26.01
Commercial,2011,Delhi,High,29,385,0.66,36.51
Criminal,2020,Delhi,District,39,333,0.7,44.03
Property,2022,Maharashtra,Supreme,27,324,0.55,42.4
Civil,2019,Uttar Pradesh,High,10,250,0.48,35.13
Civil,2012,Tamil Nadu,High,37,305,0.76,40.99
Civil,2011,Delhi,District,38,467,0.63,35.16
Property,2018,Maharashtra,Supreme,33,340,0.61,48.8
Commercial,2014,Uttar Pradesh,Supreme,26,327,0.67,42.85
Property,2011,Karnataka,High,4,429,0.44,15.37
Commercial,2023,Delhi,Supreme,33,397,0.84,45.27
Property,2022,Maharashtra,District,30,337,0.41,21.59
Property,2019,Delhi,Supreme,9,793,0.49,35.89
Family,2016,Maharashtra,Supreme,36,242,0.45,43.89
Family,2011,Uttar Pradesh,Supreme,32,332,0.48,39.64
Family,2011,Uttar Pradesh,Supreme,4,412,0.75,34.69
Civil,2020,Tamil Nadu,District,25,348,0.75,32.05
Family,2016,Delhi,District,20,485,0.47,19.69
Property,2015,Maharashtra,High,26,469,0.82,33.31
Family,2013,Karnataka,High,15,637,0.63,29.43
Family,2016,Delhi,Supreme,18,621,0.69,39.85
Commercial,2011,Karnataka,High,31,364,0.62,34.81
Family,2014,Maharashtra,Supreme,30,484,0.63,45.57
Civil,2018,Delhi,High,32,615,0.64,38.51
Property,2012,Tamil Nadu,District,34,225,0.7,27.61
Property,2018,Karnataka,Supreme,4,575,0.75,28.68
Civil,2017,Uttar Pradesh,District,29,592,0.54,36.13
Property,2011,Maharashtra,High,22,764,0.45,33.44
Family,2019,Karnataka,High,6,304,0.56,17.15
Criminal,2011,Uttar Pradesh,Supreme,11,247,0.56,41.39
Criminal,2010,Delhi,Supreme,9,663,0.47,45.61
Family,2011,Delhi,High,19,391,0.35,31.61
Property,2020,Delhi,District,10,580,0.88,13.46
Civil,2020,Maharashtra,District,20,562,0.86,31.13
Criminal,2010,Maharashtra,Supreme,26,703,0.4,57.99
Criminal,2010,Tamil Nadu,District,20,375,0.4,32.03
Property,2015,Uttar Pradesh,High,21,400,0.64,25.89
Commercial,2016,Uttar Pradesh,Supreme,3,241,0.71,35.2
Commercial,2018,Karnataka,High,17,640,0.73,30.74
Property,2016,Karnataka,High,25,270,0.4,26.16
Family,2020,Maharashtra,District,27,361,0.9,17.09
Commercial,2015,Karnataka,High,8,486,0.88,20.13
Civil,2019,Karnataka,District,31,641,0.89,34.32
Commercial,2018,Maharashtra,District,28,747,0.37,33.85
Commercial,2012,Tamil Nadu,Supreme,30,645,0.33,56.9
Civil,2020,Uttar Pradesh,High,39,740,0.49,49.26
Civil,2015,Uttar Pradesh,High,12,305,0.38,35.78
Civil,2019,Tamil Nadu,Supreme,17,387,0.74,36.57
Civil,2020,Maharashtra,High,12,542,0.86,30.04
Commercial,2022,Maharashtra,Supreme,36,516,0.5,54.23
Property,2018,Tamil Nadu,Supreme,22,264,0.36,36.72
Commercial,2015,Maharashtra,District,30,734,0.49,37.04
Commercial,2016,Tamil Nadu,High,19,568,0.36,40.15
Criminal,2017,Karnataka,Supreme,34,298,0.62,57.26
Property,2014,Karnataka,District,33,792,0.74,23.5
Property,2010,Maharashtra,District,7,741,0.33,17.17
Civil,2023,Tamil Nadu,District,13,219,0.78,18.85
Criminal,2014,Tamil Nadu,High,38,253,0.86,40.97
Property,2018,Karnataka,District,5,464,0.79,13.5
Property,2022,Maharashtra,Supreme,4,549,0.42,35.75
Family,2011,Karnataka,Supreme,18,200,0.54,38.13
Commercial,2016,Tamil Nadu,Supreme,7,313,0.53,36.4
Civil,2023,Tamil Nadu,High,13,498,0.88,24.69
Civil,2019,Uttar Pradesh,Supreme,8,558,0.85,32.55
Criminal,2022,Delhi,District,8,676,0.68,27.33
Family,2015,Karnataka,High,9,767,0.85,20.92
Property,2018,Uttar Pradesh,Supreme,21,358,0.35,34.9
Criminal,2020,Delhi,District,15,343,0.39,29.96
Commercial,2014,Tamil Nadu,High,15,618,0.56,28.49
Civil,2017,Uttar Pradesh,Supreme,36,655,0.47,61.53
Criminal,2010,Delhi,High,4,429,0.41,27.9
Criminal,2014,Tamil Nadu,High,3,529,0.49,32.52
Criminal,2017,Tamil Nadu,High,37,581,0.87,40.67
Criminal,2017,Tamil Nadu,High,4,530,0.58,28.31
Property,2010,Tamil Nadu,District,5,484,0.86,10.23
Civil,2020,Karnataka,High,33,303,0.3,35.31
Criminal,2019,Tamil Nadu,District,20,613,0.59,34.74
Civil,2015,Uttar Pradesh,Supreme,10,422,0.76,40.88
Family,2018,Karnataka,Supreme,24,664,0.46,42.55
Criminal,2015,Uttar Pradesh,High,32,338,0.86,42.42
Criminal,2012,Uttar Pradesh,High,13,203,0.85,23.98
Family,2014,Delhi,Supreme,29,412,0.81,45.82
Commercial,2010,Delhi,Supreme,6,404,0.69,30.72
Criminal,2020,Uttar Pradesh,High,28,305,0.36,39.06
Criminal,2019,Tamil Nadu,High,30,474,0.33,42.59
Family,2014,Delhi,High,30,444,0.53,31.92
Commercial,2010,Karnataka,District,24,769,0.66,29.6
Commercial,2014,Delhi,District,17,551,0.47,26.35
Family,2023,Delhi,District,26,357,0.39,22.67
Criminal,2023,Karnataka,Supreme,10,202,0.58,43.48
Family,2023,Delhi,District,22,215,0.68,13.39
Criminal,2012,Uttar Pradesh,High,35,531,0.69,41.84
Property,2020,Karnataka,High,30,709,0.71,30.18
Commercial,2017,Delhi,High,13,356,0.75,24.94
Family,2020,Uttar Pradesh,Supreme,27,763,0.76,45.74
Commercial,2014,Uttar Pradesh,Supreme,11,542,0.83,37.81
Family,2021,Tamil Nadu,Supreme,27,719,0.39,44.43
Criminal,2017,Maharashtra,District,16,491,0.65,26.06
Family,2014,Uttar Pradesh,High,20,778,0.72,26.94
Commercial,2020,Uttar Pradesh,Supreme,29,332,0.76,47.22
Commercial,2021,Maharashtra,Supreme,31,470,0.62,47.0
Commercial,2020,Tamil Nadu,Supreme,28,222,0.6,42.88
Family,2015,Maharashtra,Supreme,23,599,0.44,42.43
Family,2016,Karnataka,District,19,749,0.74,19.66
Commercial,2010,Delhi,District,20,390,0.82,20.33
Family,2012,Tamil Nadu,High,17,499,0.89,27.43
Family,2010,Tamil Nadu,Supreme,35,619,0.31,48.77
Commercial,2018,Uttar Pradesh,Supreme,13,601,0.9,40.85
Commercial,2014,Uttar Pradesh,District,39,774,0.7,35.76
Property,2023,Tamil Nadu,High,11,325,0.86,22.13
Commercial,2015,Delhi,Supreme,27,554,0.74,49.8
Property,2021,Maharashtra,High,7,682,0.58,22.41
Commercial,2020,Maharashtra,District,11,633,0.83,27.05
Commercial,2020,Delhi,District,28,544,0.87,22.51
Commercial,2011,Tamil Nadu,Supreme,28,371,0.56,44.76
Property,2018,Tamil Nadu,District,17,271,0.6,23.5
Property,2019,Tamil Nadu,District,29,273,0.41,22.19
Criminal,2019,Delhi,High,6,646,0.43,27.29
Commercial,2010,Maharashtra,High,31,520,0.33,39.88
Property,2023,Uttar Pradesh,Supreme,34,393,0.69,44.11
Commercial,2017,Tamil Nadu,District,26,799,0.61,31.87
Family,2014,Uttar Pradesh,High,30,776,0.38,37.57
Commercial,2015,Tamil Nadu,Supreme,12,428,0.8,32.95
Civil,2013,Delhi,High,33,334,0.32,44.7
Criminal,2012,Karnataka,High,12,721,0.83,37.77
Civil,2023,Karnataka,Supreme,5,498,0.41,39.53
Family,2019,Karnataka,High,39,255,0.49,33.18
Criminal,2021,Karnataka,District,24,634,0.55,35.87
Commercial,2016,Delhi,District,32,727,0.34,32.99
Family,2012,Tamil Nadu,District,20,783,0.7,22.58
Commercial,2016,Uttar Pradesh,District,25,487,0.3,33.38
Criminal,2023,Karnataka,Supreme,23,550,0.46,55.94
Civil,2015,Karnataka,Supreme,34,362,0.68,51.86
Civil,2013,Karnataka,High,23,552,0.48,41.19
Criminal,2015,Tamil Nadu,District,21,424,0.44,34.83
Commercial,2016,Delhi,District,17,789,0.61,25.59
Family,2011,Karnataka,District,17,589,0.49,26.29
Property,2018,Uttar Pradesh,High,28,409,0.68,30.98
Criminal,2011,Uttar Pradesh,High,11,508,0.82,25.33
Family,2020,Delhi,District,26,452,0.59,22.73
Commercial,2020,Uttar Pradesh,District,14,250,0.53,20.03
Criminal,2012,Uttar Pradesh,High,28,355,0.69,39.38
Commercial,2020,Maharashtra,Supreme,20,691,0.54,45.3
Commercial,2012,Karnataka,High,6,529,0.59,23.0
Family,2016,Tamil Nadu,Supreme,5,310,0.41,30.19
Commercial,2011,Karnataka,High,10,298,0.37,25.39
Property,2023,Karnataka,District,20,456,0.41,23.0
Criminal,2020,Tamil Nadu,High,39,470,0.86,47.64
Commercial,2017,Uttar Pradesh,High,21,767,0.68,33.64
Civil,2013,Karnataka,Supreme,7,398,0.76,39.36
Commercial,2020,Karnataka,Supreme,26,681,0.4,51.02
Criminal,2015,Uttar Pradesh,High,38,402,0.36,42.18
Property,2012,Tamil Nadu,High,19,443,0.31,30.16
Commercial,2022,Delhi,District,15,579,0.48,25.63
Family,2019,Tamil Nadu,Supreme,24,420,0.82,37.51
Criminal,2023,Maharashtra,High,31,323,0.47,41.95
Criminal,2014,Delhi,Supreme,33,259,0.39,52.59
Property,2021,Delhi,Supreme,27,201,0.79,39.13
Criminal,2011,Tamil Nadu,Supreme,9,555,0.62,46.42
Commercial,2014,Uttar Pradesh,District,28,264,0.79,26.93
Criminal,2012,Delhi,High,31,505,0.86,35.96
Commercial,2022,Karnataka,High,19,767,0.33,41.75
Commercial,2010,Tamil Nadu,High,23,340,0.77,33.19
Property,2022,Uttar Pradesh,High,8,404,0.5,19.4
Property,2018,Maharashtra,District,33,630,0.84,27.03
Property,2010,Tamil Nadu,District,23,259,0.76,16.81
Civil,2016,Delhi,District,3,438,0.7,19.1
Criminal,2012,Maharashtra,High,32,768,0.63,48.48
Criminal,2020,Karnataka,High,10,632,0.87,32.09
Commercial,2022,Karnataka,High,8,648,0.6,29.74
Family,2021,Delhi,High,34,689,0.89,32.85
